epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,479.876,1.73408,1.85447,1.238,0.3242,0.36735,0.26324,0.1457,1.42265,2.12008,1.39691,0.000643101,0.000643101,0.000643101
43,491.078,1.94478,2.12534,1.4079,0.16589,0.42857,0.26268,0.15479,1.38689,2.1353,1.39535,0.000628101,0.000628101,0.000628101
44,502.038,1.68996,1.88796,1.26387,0.19397,0.47135,0.29744,0.17939,1.35841,2.13232,1.37615,0.000612981,0.000612981,0.000612981
45,512.982,1.78361,1.88806,1.31373,0.19397,0.47135,0.29744,0.17939,1.35841,2.13232,1.37615,0.000597754,0.000597754,0.000597754
46,523.948,1.69153,1.85223,1.25033,0.32171,0.43018,0.28599,0.17307,1.39032,2.20007,1.40675,0.000582435,0.000582435,0.000582435
47,534.829,1.75475,1.93298,1.28172,0.32838,0.28571,0.29286,0.16506,1.47551,2.27012,1.46096,0.00056704,0.00056704,0.00056704
48,545.79,1.67352,1.90261,1.26948,0.32992,0.28571,0.29602,0.15837,1.46346,2.30559,1.46331,0.000551584,0.000551584,0.000551584
49,556.887,1.66761,1.81782,1.22022,0.32992,0.28571,0.29602,0.15837,1.46346,2.30559,1.46331,0.000536081,0.000536081,0.000536081
50,568.03,1.67549,1.82139,1.23032,0.34758,0.40837,0.30172,0.16947,1.42536,2.29938,1.44466,0.000520548,0.000520548,0.000520548
51,579.137,1.66876,1.86489,1.21586,0.33104,0.40816,0.27063,0.16115,1.44234,2.32837,1.44013,0.000505,0.000505,0.000505
52,590.249,1.65898,1.81462,1.25779,0.19151,0.49123,0.25026,0.15195,1.48687,2.37298,1.43477,0.000489452,0.000489452,0.000489452
53,601.332,1.71969,1.84461,1.27422,0.19151,0.49123,0.25026,0.15195,1.48687,2.37298,1.43477,0.000473919,0.000473919,0.000473919
54,612.815,1.68052,1.85513,1.237,0.18425,0.5,0.24418,0.14401,1.56122,2.40962,1.46286,0.000458416,0.000458416,0.000458416
55,623.94,1.68945,1.82371,1.20118,0.1863,0.47608,0.23707,0.13124,1.51397,2.39667,1.45751,0.00044296,0.00044296,0.00044296
56,634.848,1.62159,1.77657,1.18918,0.34148,0.46678,0.24851,0.13602,1.50329,2.44363,1.481,0.000427565,0.000427565,0.000427565
57,646.043,1.66349,1.82218,1.18827,0.34148,0.46678,0.24851,0.13602,1.50329,2.44363,1.481,0.000412246,0.000412246,0.000412246
58,657.079,1.65557,1.80197,1.21869,0.34166,0.47959,0.25851,0.13959,1.52692,2.40706,1.50753,0.000397019,0.000397019,0.000397019
59,667.972,1.71902,1.9285,1.33742,0.3339,0.47959,0.3234,0.15906,1.51842,2.32819,1.47687,0.000381899,0.000381899,0.000381899
60,678.879,1.55761,1.7622,1.20324,0.20033,0.54215,0.36276,0.18057,1.48267,2.29196,1.42807,0.000366899,0.000366899,0.000366899
61,689.862,1.55876,1.71636,1.16455,0.20033,0.54215,0.36276,0.18057,1.48267,2.29196,1.42807,0.000352037,0.000352037,0.000352037
62,700.845,1.66403,1.8194,1.22327,0.18855,0.57143,0.35111,0.18476,1.51852,2.32121,1.43159,0.000337325,0.000337325,0.000337325
63,712.229,1.65677,1.74006,1.20734,0.2278,0.57143,0.3395,0.16505,1.53922,2.32389,1.44292,0.000322778,0.000322778,0.000322778
64,723.212,1.52513,1.72922,1.19953,0.3939,0.57143,0.34917,0.16054,1.52918,2.35831,1.45382,0.000308412,0.000308412,0.000308412
65,734.115,1.55967,1.76284,1.22266,0.3939,0.57143,0.34917,0.16054,1.52918,2.35831,1.45382,0.000294239,0.000294239,0.000294239
66,745.078,1.58478,1.75237,1.18496,0.45957,0.48332,0.34999,0.15006,1.53469,2.34252,1.46924,0.000280275,0.000280275,0.000280275
67,756.142,1.60599,1.76986,1.20918,0.45846,0.48666,0.32048,0.1351,1.5342,2.33557,1.4715,0.000266532,0.000266532,0.000266532
